state_code,court_code,state_name,name
1,,Bombay,"Appellate Side,Bombay"
1,2,Bombay,"Original Side, Bombay"
1,3,Bombay,"Bench At Aurangabad"
1,4,Bombay,"Bench At Nagpur"
1,5,Bombay,"High Court of Bombay at Goa"
1,6,Bombay,"Special Court (TORTS) Bombay High Court"
10,,Madras,"Madras High Court - Principal Bench"
10,2,Madras,"Madras High Court - Madurai Bench"
11,,Odisha,"High Court of Orissa"
12,,"Jammu and Kashmir","High Court of Jammu and Kashmir - Jammu Wing"
12,2,"Jammu and Kashmir","High Court of Jammu and Kashmir - Srinagar Wing"
13,,"Uttar Pradesh","High Court of Judicature at Allahabad"
13,2,"Uttar Pradesh","Allahabad High Court Lucknow Bench"
15,,Uttarakhand,"High Court of Uttarakhand"
16,,Calcutta,"Calcutta High Court - Original Side"
16,2,Calcutta,"Calcutta High Court - Circuit Bench At Jalpaiguri"
16,3,Calcutta,"Calcutta High Court - Appellate side"
16,4,Calcutta,"Calcutta High Court - Circuit Bench At Port Blair"
17,,Gujarat,"High Court of Gujarat"
18,,Chhattisgarh,"High Court of Chhattisgarh"
2,,"Andhra Pradesh","High Court of Andhra Pradesh"
20,,Tripura,"High Court of Tripura"
21,,Meghalaya,"High Court of Meghalaya"
24,,Sikkim,"High Court of Sikkim"
25,,Manipur,"High Court of Manipur"
29,,Telangana,"High Court for the State of Telangana"
3,,Karnataka,"High Court of Karnataka - Principal Bench at Bengaluru"
3,2,Karnataka,"High Court of Karnataka - Dharwad Bench At Karnataka"
3,3,Karnataka,"High Court of Karnataka - Kalburagi Bench At Karnataka"
4,,Kerala,"High Court of Kerala"
5,,"Himachal Pradesh","High Court of Himachal Pradesh"
6,,Assam,"Gawahati High Court - Principal Seat at Guwahati"
6,2,Assam,"Gawahati High Court - Kohima Bench"
6,3,Assam,"Gawahati High Court - Aizawl Bench"
6,4,Assam,"Gawahati High Court - Itanagar Bench"
7,,Jharkhand,"High Court of Jharkhand"
8,,Patna,"The High Court of Judicature at Patna"
9,,Rajasthan,"Rajasthan High Court Bench at Jaipur"
9,2,Rajasthan,"Rajasthan High Court Principal Seat, Jodhpur"
